Gene symbol,RIP LFE,Target bin,Reads bin,Clusters bin,ACUK bin,WGGA bin,RRE Ratio bin,RRE CDS-3UTR bin,Exon Intron Only bin,Exon Intron Ratio bin,Region Exclusive bin,CDS per gene bin,CDS 3UTR Ratio bin,ASD bin,,,,,,,,
EFEMP1,-0.016848646,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFEMP2,,,,,,,,,,,,,,,,,,,,,,
EFHA1,0.193951799,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFHA2,,,,,,,,,,,,,,,,,,,,,,
EFHB,,,,,,,,,,,,,,,,,,,,,,
EFHC1,0.330578453,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
EFHC2,,,,,,,,,,,,,,,,,,,,,,
EFHD1,-1.501749443,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFHD2,-0.087263626,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFNA1,1.321727841,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFNA2,,,,,,,,,,,,,,,,,,,,,,
EFNA3,-0.433247118,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFNA4,-0.353584685,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFNA5,-0.507119224,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
EFNB1,0.528237535,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFNB2,0.775168899,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
EFNB3,-0.54481337,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFR3A,0.565181974,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
EFR3B,0.454538919,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EFS,,,,,,,,,,,,,,,,,,,,,,
EFTUD1,1.35886021,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,,1-5:1,,2-3 CDS,,,,,,,,,,
EFTUD2,1.946578168,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EGF,,,,,,,,,,,,,,,,,,,,,,
EGFL6,,,,,,,,,,,,,,,,,,,,,,
EGFL7,-0.68564106,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EGFL8,,,,,,,,,,,,,,,,,,,,,,
EGFLAM,1.432721661,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EGFR,0.685306829,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
EGLN1,0.828350926,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
EGLN2,0.65980551,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,2-3 CDS,2 to 4:1,,,,,,,,,
EGLN3,-0.09419013,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EGR1,-1.339502136,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EGR2,,,,,,,,,,,,,,,,,,,,,,
EGR3,,,,,,,,,,,,,,,,,,,,,,
EGR4,,,,,,,,,,,,,,,,,,,,,,
EHBP1,1.113422398,Target,103-301 Reads,11-24 Clusters,4 or more ACUK,2-3 WGGA,> 1:1,,,5-20:1,, > 13 CDS,2 to 4:1,,,,,,,,,
EHBP1L1,0.599569832,Target,5-12 Reads,1 Cluster,,,,,Exon,,CDS,1 CDS,,,,,,,,,,
EHD1,0.603321217,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EHD2,-0.176394278,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EHD3,0.664748201,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EHD4,0.904855848,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EHF,,,,,,,,,,,,,,,,,,,,,,
EHHADH,0.134582726,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EHMT1,1.48648117,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
EHMT2,0.219414389,Target,37-102 Reads,5-10 Clusters,2-3 ACUK,0 WGGA,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EI24,-1.810210186,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
EID1,-1.229678572,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
EID2,-0.578385726,Target,13-36 Reads,2-4 Clusters,0 ACUK,0 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
EID2B,-0.119649148,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EID3,,,,,,,,,,,,,,,,,,,,,,
EIF1,-0.03315007,Target,37-102 Reads,2-4 Clusters,2-3 ACUK,0 WGGA,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
EIF1AD,-0.457119638,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF1AX,-0.970317873,Target, > 301 Reads,11-24 Clusters,,,,,,5-20:1,,,,,,,,,,,,
EIF1AY,,,,,,,,,,,,,,,,,,,,,,
EIF1B,-1.394862613,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF2A,0.12904839,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EIF2AK1,-0.466668911,Target,37-102 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
EIF2AK2,-0.634278663,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
EIF2AK3,-0.115857363,Target,13-36 Reads,2-4 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,2-3 CDS,,,,,,,,,,
EIF2AK4,0.750751532,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,, > 13 CDS,,,,,,,,,,
EIF2B1,0.021313982,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF2B2,-0.043804307,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF2B3,0.799921522,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF2B4,0.484619543,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF2B5,0.758676833,Target,37-102 Reads,2-4 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
EIF2C1,0.51978363,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
EIF2C2,0.172115619,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF2C3,0.495650499,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
EIF2C4,0.189064762,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
EIF2D,,,,,,,,,,,,,,,,,,,,,,
EIF2S1,-0.434647425,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
EIF2S2,1.672213842,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
EIF2S3,-1.51655694,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
EIF3A,1.188636067,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF3B,1.614613299,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF3C,1.027473573,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF3CL,,,,,,,,,,,,,,,,,,,,,,
EIF3D,1.097871705,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF3E,-1.019915726,Target,103-301 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EIF3F,0.054532267,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
EIF3G,-0.466307526,Target,13-36 Reads,2-4 Clusters,,,,,Exon,,CDS,2-3 CDS,,,,,,,,,,
EIF3H,-0.726092919,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF3I,-0.574973249,Target,103-301 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EIF3J,-0.172892198,Target,103-301 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
EIF3K,-0.28932527,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EIF3L,0.544329903,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EIF3M,0.243713482,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,CDS,7-13 CDS,,,,,,,,,,
EIF4A1,0.275407156,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
EIF4A2,0.024513094,Target, > 301 Reads,11-24 Clusters,,,,,,5-20:1,, > 13 CDS,> 4:1,,,,,,,,,
EIF4A3,0.999275381,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
EIF4B,-0.451152791,Target,103-301 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
EIF4E,-1.695851529,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,3'UTR,,,+ASD/+Target,,,,,,,,
EIF4E1B,,,,,,,,,,,,,,,,,,,,,,
EIF4E2,-0.285453042,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
EIF4E3,-1.965331151,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,3'UTR,,,,,,,,,,,
EIF4EBP1,-1.257481886,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
EIF4EBP2,-1.554394438,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
EIF4EBP3,,,,,,,,,,,,,,,,,,,,,,
EIF4ENIF1,-0.078268477,Target,37-102 Reads,5-10 Clusters,1 ACUK,2-3 WGGA,< 1:1,,Exon,,CDS,4-6 CDS,,,,,,,,,,
EIF4G1,1.058145726,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF4G2,0.003288864,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,2 to 4:1,,,,,,,,,
EIF4G3,0.698191395,Target, > 301 Reads, > 24 Clusters,,,,,,> 20:1,, > 13 CDS,> 4:1,,,,,,,,,
EIF4H,-0.778933165,Target,37-102 Reads,2-4 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
EIF5,0.376702771,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1:3 to 3:4,,,,,,,,,
EIF5A,-0.739619265,Target,13-36 Reads,2-4 Clusters,0 ACUK,1 WGGA,,,Exon,,,1 CDS,1 to 1.99:1,,,,,,,,,
EIF5A2,,,,,,,,,,,,,,,,,,,,,,
EIF5AL1,,,,,,,,,,,,,,,,,,,,,,
EIF5B,0.699711122,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
EIF6,-1.281595027,Target,13-36 Reads,2-4 Clusters,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,2-3 CDS,,,,,,,,,,
ELAC1,0.283799425,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELAC2,1.63748262,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELANE,,,,,,,,,,,,,,,,,,,,,,
ELAVL1,0.205952853,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
ELAVL2,-0.859183047,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1:3 to 3:4,,,,,,,,,
ELAVL3,-0.367777758,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELAVL4,,,,,,,,,,,,,,,,,,,,,,
ELF1,0.405342587,Target,103-301 Reads,11-24 Clusters,,,,,,5-20:1,,7-13 CDS,> 4:1,,,,,,,,,
ELF2,-0.213929579,Target,103-301 Reads,11-24 Clusters,,,,,,1-5:1,,7-13 CDS,> 4:1,,,,,,,,,
ELF3,,,,,,,,,,,,,,,,,,,,,,
ELF4,0.018725774,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1 to 1.99:1,,,,,,,,,
ELF5,,,,,,,,,,,,,,,,,,,,,,
ELFN1,-0.006837029,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELFN2,0.307204913,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELK1,-1.44867104,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
ELK3,-0.538112069,Target,37-102 Reads,2-4 Clusters,2-3 ACUK,1 WGGA,> 1:1,,Exon,,3'UTR,,,,,,,,,,,
ELK4,-0.749572547,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
ELL,0.527382351,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELL2,-1.110325172,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
ELL3,-0.729728247,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELMO1,0.840486614,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELMO2,1.348495184,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,, > 13 CDS,> 4:1,,,,,,,,,
ELMO3,,,,,,,,,,,,,,,,,,,,,,
ELMOD1,0.441503762,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELMOD2,-0.396650367,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
ELMOD3,0.321753889,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELN,,,,,,,,,,,,,,,,,,,,,,
ELOF1,-1.200563426,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELOVL1,-0.664713414,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELOVL2,-2.259353223,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ELOVL3,,,,,,,,,,,,,,,,,,,,,,
ELOVL4,-1.45662876,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
ELOVL5,-0.609744077,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,4-6 CDS,1:3 to 3:4,,,,,,,,,
ELOVL6,-0.791747362,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,,2-3 CDS,at most 1:3,,,,,,,,,
ELOVL7,-1.574040271,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,1 CDS,at most 1:3,,,,,,,,,
ELP2,0.872011737,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,4-6 CDS,2 to 4:1,,,,,,,,,
ELP3,0.504169214,Target,37-102 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,1 to 1.99:1,,,,,,,,,
ELP4,-0.507407022,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
ELSPBP1,,,,,,,,,,,,,,,,,,,,,,
ELTD1,,,,,,,,,,,,,,,,,,,,,,
EMB,-2.918316432,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-CDS,Exon,,CDS,1 CDS,,,,,,,,,,
EMCN,,,,,,,,,,,,,,,,,,,,,,
EMD,-1.5287409,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
EME1,0.24158607,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EME2,1.590104691,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMG1,-0.741652703,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMID1,0.285831385,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMID2,0.446308367,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMILIN1,,,,,,,,,,,,,,,,,,,,,,
EMILIN2,1.0749564,Target,5-12 Reads,1 Cluster,1 ACUK,0 WGGA,,ACUK-3UTR,Exon,,3'UTR,,,,,,,,,,,
EMILIN3,1.74774935,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EML1,1.209024836,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,,2-3 CDS,1 to 1.99:1,,,,,,,,,
EML2,0.178025117,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EML3,1.106124416,Target,5-12 Reads,1 Cluster,,,,,Intron,,Intron,,,,,,,,,,,
EML4,0.618399105,Target, > 301 Reads, > 24 Clusters,,,,,Exon,,, > 13 CDS,1 to 1.99:1,,,,,,,,,
EML5,,,,,,,,,,,,,,,,,,,,,,
EML6,1.502675291,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMP1,,,,,,,,,,,,,,,,,,,,,,
EMP2,-1.319923217,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMP3,-1.878213863,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMR1,,,,,,,,,,,,,,,,,,,,,,
EMR2,,,,,,,,,,,,,,,,,,,,,,
EMR3,,,,,,,,,,,,,,,,,,,,,,
EMX1,-0.338110056,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMX2,-1.016358408,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EMX2OS,0.621553108,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
EN1,,,,,,,,,,,,,,,,,,,,,,
EN2,-0.427798215,Target,13-36 Reads,2-4 Clusters,1 ACUK,1 WGGA,1:01,,Exon,,,2-3 CDS,2 to 4:1,+ASD/+Target,,,,,,,,
ENAH,-0.337877725,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ENAM,,,,,,,,,,,,,,,,,,,,,,
ENC1,0.864875629,Target,103-301 Reads, > 24 Clusters,,,,,Exon,,,4-6 CDS,at most 1:3,,,,,,,,,
ENDOD1,0.412335326,Target,103-301 Reads,11-24 Clusters,,,,,Exon,,3'UTR,,,,,,,,,,,
ENDOG,-0.801852255,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENG,-0.030879066,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENGASE,0.952717684,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENHO,-0.689742952,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENKUR,,,,,,,,,,,,,,,,,,,,,,
ENO1,0.052622663,Target, > 301 Reads,11-24 Clusters,,,,,Exon,,,7-13 CDS,2 to 4:1,,,,,,,,,
ENO2,0.050565417,Target,5-12 Reads,1 Cluster,0 ACUK,0 WGGA,,,Exon,,CDS,1 CDS,,,,,,,,,,
ENO3,0.660698596,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENOPH1,-0.841912598,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENOSF1,0.648705266,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENOX1,1.787548452,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENOX2,1.497521818,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENPEP,1.503441666,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENPP1,-0.040724499,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENPP2,1.110653799,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENPP3,0.119300426,Non-Target,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,No Clusters,,,,,,,,,
ENPP4,-1.148997606,Target,37-102 Reads,5-10 Clusters,,,,,Exon,,,2-3 CDS,1:3 to 3:4,,,,,,,,,
ENPP5,,,,,,,,,,,,,,,,,,,,,,
ENPP6,,,,,,,,,,,,,,,,,,,,,,
